freq_kHz,power_dB
4.599539896417215346e+02,-1.655418827584670112e+02
4.609538896192034940e+02,-1.631234046620186007e+02
4.619537895966855672e+02,-1.600499580899023044e+02
4.629536895741675266e+02,-1.572869311737581484e+02
4.639535895516495998e+02,-1.471801307078677894e+02
4.649534895291315593e+02,-1.525577365895468631e+02
4.659533895066135187e+02,-1.871823546298611802e+02
4.669532894840955919e+02,-1.798512365929459804e+02
4.679531894615775514e+02,-1.892711096112033147e+02
4.689530894390595677e+02,-1.868351926131948062e+02
4.699529894165415840e+02,-1.904558277735858383e+02
4.709528893940236003e+02,-1.764447819846219829e+02
4.719527893715055598e+02,-1.813301900794230619e+02
4.729526893489875761e+02,-1.739044606421049934e+02
4.739525893264695924e+02,-1.759217109451024896e+02
4.749524893039516087e+02,-1.759153268223470263e+02
4.759523892814336250e+02,-1.738431418881879722e+02
4.769522892589155845e+02,-1.885989782977890741e+02
4.779521892363976008e+02,-1.679434907687054590e+02
4.789520892138796171e+02,-1.844177842793799869e+02
4.799519891913615766e+02,-1.666683400325964612e+02
4.809518891688436497e+02,-1.711771276123738517e+02
4.819517891463256092e+02,-1.727956943682695510e+02
4.829516891238075686e+02,-1.752899885664320436e+02
4.839515891012896418e+02,-1.544474898338713729e+02
4.849514890787716013e+02,-1.519087437711496307e+02
4.859513890562536744e+02,-1.629350104848242040e+02
4.869512890337356339e+02,-1.672368276891033645e+02
4.879511890112175934e+02,-1.754377833367026369e+02
4.889510889886996665e+02,-1.851230638778310151e+02
4.899509889661816260e+02,-1.782748930665388229e+02
4.909508889436636423e+02,-1.545950489149390421e+02
4.919507889211456586e+02,-1.494587904939328951e+02
4.929506888986276181e+02,-1.560922480037927187e+02
4.939505888761096344e+02,-1.650753523241191374e+02
4.949504888535916507e+02,-1.796155268362873016e+02
4.959503888310736670e+02,-1.726322851067581325e+02
4.969502888085556833e+02,-1.646434822677906880e+02
4.979501887860376996e+02,-1.734479493191362849e+02
4.989500887635196591e+02,-1.575681957353520488e+02
4.999499887410016754e+02,-1.573039226139676998e+02
5.009498887184836917e+02,-1.535651467848359744e+02
5.019497886959656512e+02,-1.473874549117450385e+02
5.029496886734477243e+02,-1.409269342835436589e+02
5.039495886509296838e+02,-1.322127156188717549e+02
5.049494886284116433e+02,-1.176891881219469269e+02
5.059493886058937164e+02,-9.855099719530187485e+01
5.069492885833756759e+02,-9.619341402922641748e+01
5.079491885608577491e+02,-1.064729737941601684e+02
5.089490885383397085e+02,-1.274169349901403621e+02
5.099489885158216680e+02,-1.379150366638896514e+02
5.109488884933037411e+02,-1.447018997161485458e+02
5.119487884707857006e+02,-1.508243535248231808e+02
5.129486884482677169e+02,-1.550269241573378167e+02
5.139485884257497901e+02,-1.564167414601106998e+02
5.149484884032317495e+02,-1.804653020598043156e+02
5.159483883807137090e+02,-1.571628521623925394e+02
5.169482883581957822e+02,-1.764457410928145293e+02
5.179481883356777416e+02,-1.668496151847863871e+02
5.189480883131598148e+02,-1.706403479764652786e+02
5.199479882906417743e+02,-1.685752113982790092e+02
5.209478882681237337e+02,-1.793019168179580731e+02
5.219477882456058069e+02,-1.854869333687049959e+02
5.229476882230877663e+02,-1.737434326475949149e+02
5.239475882005697258e+02,-1.692985172837582297e+02
5.249474881780517990e+02,-1.730528680076615444e+02
5.259473881555338721e+02,-1.693430111350379548e+02
5.269472881330157179e+02,-1.713194574521186553e+02
5.279471881104977911e+02,-1.584695234881539534e+02
5.289470880879798642e+02,-1.576497470817875239e+02
5.299469880654617100e+02,-1.766489147547537470e+02
5.309468880429437831e+02,-1.738422433859908551e+02
5.319467880204258563e+02,-1.712575739465523839e+02
5.329466879979077021e+02,-1.747585508838693897e+02
5.339465879753897752e+02,-1.801385955793582809e+02
5.349464879528718484e+02,-1.754713821610542084e+02
5.359463879303538079e+02,-1.822774322944933090e+02
5.369462879078357673e+02,-1.663420458849969918e+02
5.379461878853178405e+02,-1.559494536233268605e+02
5.389460878627998000e+02,-1.603827187511222405e+02
5.399459878402817594e+02,-1.890535197720073484e+02
5.409458878177638326e+02,-1.750011693343506920e+02
5.419457877952457920e+02,-1.819688148059434525e+02
5.429456877727277515e+02,-1.889870021172947077e+02
5.439455877502098247e+02,-1.773847069622081847e+02
5.449454877276917841e+02,-1.813446772277499974e+02
5.459453877051738573e+02,-1.752041244682820320e+02
5.469452876826558168e+02,-1.720582532742707826e+02
5.479451876601378899e+02,-1.874353305712156157e+02
5.489450876376198494e+02,-1.815852251192484346e+02
5.499449876151018088e+02,-1.652260371437808999e+02
5.509448875925838820e+02,-1.621908625081186415e+02
5.519447875700658415e+02,-1.641643265104418106e+02
5.529446875475479146e+02,-1.718589081821909588e+02
5.539445875250298741e+02,-1.846206266156993934e+02
5.549444875025118336e+02,-1.581646582184027352e+02
5.559443874799939067e+02,-1.486025154873018153e+02
